wbgene,symbol,freq_pre,freq_post,freq_max,coef_pre_mean,coef_post_mean,category
WBGene00022410,Y97E10C.1,0.63,1.0,1.0,0.001213533638709553,0.006422377867923424,
WBGene00000380,cct-5,0.5,0.97,0.97,0.0008116447244895697,0.003715151595752221,
WBGene00007647,C17E4.10,0.06,0.97,0.97,4.566688261884174e-05,0.008496480332004648,
WBGene00000066,act-4,0.51,0.97,0.97,0.0005513410566451422,0.0030700869189603662,
WBGene00006831,unc-104,0.07,0.94,0.94,0.00010353802810662973,0.004833851810387468,
WBGene00021020,W04B5.3,0.92,0.0,0.92,0.2456804313193247,0.0,
WBGene00019226,H22K11.3,0.06,0.86,0.86,0.002965377339633035,-0.08768454735465618,
WBGene00022748,oaz-1,0.85,0.79,0.85,0.0019280613212997702,0.0011386350523008117,
WBGene00001671,gpa-9,0.05,0.83,0.83,0.0026789370354405734,-0.09768923551905742,
WBGene00011857,coa-4,0.0,0.83,0.83,0.0,-0.03350048205261101,
WBGene00007750,syg-2,0.0,0.83,0.83,0.0,-0.056853186598102415,adhesion_guide
WBGene00010448,K01A6.6,0.0,0.82,0.82,0.0,0.15841213830307607,
WBGene00001592,glc-2,0.0,0.79,0.79,0.0,-0.07985583464765335,
WBGene00017981,figl-1,0.02,0.79,0.79,4.436284984074083e-05,0.016798120717901065,
WBGene00009277,F30F8.10,0.0,0.78,0.78,0.0,0.030054816735146046,
WBGene00016635,C44B11.6,0.27,0.76,0.76,0.0004681260857640519,0.002168051313508308,
WBGene00000386,cdc-25.1,0.01,0.74,0.74,5.1791625568181274e-05,0.11666656632372416,
WBGene00003652,nhr-62,0.73,0.0,0.73,0.07625941766976357,0.0,TF
WBGene00013038,ani-1,0.0,0.69,0.69,0.0,0.06556857322396774,
WBGene00020924,W02B3.4,0.04,0.68,0.68,-0.0031240094916247397,0.08589424539252292,
WBGene00022727,prkl-1,0.67,0.0,0.67,-0.09455996133790757,0.0,
WBGene00009125,F25H5.2,0.07,0.67,0.67,-0.0019492899407026678,0.07701484831283466,
WBGene00001488,frm-1,0.06,0.66,0.66,2.427542476234656e-05,0.003645561927040481,
WBGene00006681,twk-29,0.06,0.66,0.66,-0.001980629292410918,0.07214387614585385,ion_channel
WBGene00220160,Y44A6C.4,0.0,0.65,0.65,0.0,-0.04547401377682446,
WBGene00004431,rpl-19,0.38,0.64,0.64,0.0004695989044077804,0.0009285380708889859,
WBGene00016890,lst-5,0.01,0.62,0.62,-0.000505769356200701,0.07382501538973849,
WBGene00015059,B0228.1,0.62,0.0,0.62,-0.035269378838204114,0.0,
WBGene00006793,unc-59,0.0,0.61,0.61,0.0,-0.03299090813042764,
WBGene00008047,lact-7,0.0,0.6,0.6,0.0,0.06379806706656946,
WBGene00017435,F13H8.2,0.0,0.6,0.6,0.0,-0.03773423466048086,
WBGene00201549,F35D2.16,0.59,0.0,0.59,0.01854150721879,0.0,
WBGene00012692,Y39B6A.33,0.0,0.59,0.59,0.0,-0.017235977839523596,
WBGene00019324,K02F2.5,0.59,0.1,0.59,0.0010827825746249258,2.0521288994215462e-05,
WBGene00020437,stt-3,0.0,0.59,0.59,0.0,-0.022642081008045198,
WBGene00021830,Y54E10A.10,0.57,0.01,0.57,-0.03479808613121282,-7.218863807951585e-06,
WBGene00002241,kup-1,0.0,0.57,0.57,0.0,0.022610449347822588,
WBGene00012984,Y48B6A.13,0.0,0.57,0.57,0.0,-0.020913229251905897,
WBGene00000373,cyp-14A5,0.56,0.0,0.56,-0.08768062813772018,0.0,
WBGene00021301,Y32G9A.2,0.56,0.0,0.56,0.09121673690567271,0.0,
WBGene00022814,ZK742.4,0.55,0.0,0.55,0.05016014782443965,0.0,
WBGene00006779,unc-43,0.55,0.35,0.55,0.0014380368000271215,0.0010585130861743561,
WBGene00000237,bam-2,0.0,0.55,0.55,0.0,0.09096083035437903,
WBGene00020509,hex-1,0.0,0.52,0.52,0.0,-0.0253206745284088,
WBGene00023245,C33E10.3,0.52,0.0,0.52,-0.03154389824965008,0.0,
WBGene00003017,lin-31,0.0,0.52,0.52,0.0,0.09420055675600976,
WBGene00014947,Y71A12B.14,0.52,0.0,0.52,0.04024323953096163,0.0,
WBGene00012363,W09D10.5,0.52,0.01,0.52,-0.047750477636777845,0.0010480917358982062,
WBGene00001248,elp-1,0.01,0.52,0.52,0.001062767653558577,0.06217830903286626,
WBGene00012440,nlp-53,0.52,0.0,0.52,-0.029901698865923046,0.0,neuropeptide
